x, y, z, intensity, ring
-0.576858,0.05585,-0.155291,12,0
-0.614682,0.0603784,-0.0540366,10,5
-0.57666,0.0578633,-0.155291,12,0
-0.578189,0.0583225,-0.112959,16,2
-0.574825,0.0584899,-0.0505503,10,5
-0.576454,0.0598757,-0.155291,12,0
-0.577982,0.0603403,-0.112959,16,2
-0.55084,0.0579928,-0.0484586,11,5
-0.576242,0.0618876,-0.155291,12,0
-0.614016,0.0668118,-0.0540366,10,5
-0.576033,0.0637981,-0.155291,12,0
-0.577558,0.0642731,-0.112959,16,2
-0.6019,0.0676201,-0.0529907,10,5
-0.575796,0.065909,-0.155291,12,0
-0.60166,0.0697209,-0.0529907,10,5
-0.479635,0.0565987,-0.12941,15,0
-0.577083,0.0684044,-0.112959,16,2
-0.573717,0.0685132,-0.0505503,10,5
-0.575334,0.0698268,-0.155291,12,0
-0.576853,0.0703177,-0.112959,16,2
-0.601172,0.0738147,-0.0529907,10,5
-0.575099,0.0717343,-0.155291,12,0
-0.578565,0.0724743,-0.113341,16,2
-0.61277,0.0774108,-0.0540366,10,5
-0.574832,0.0738415,-0.155291,12,0
-0.632815,0.0816267,-0.124026,14,2
-0.612496,0.0795494,-0.0540366,10,5
-0.574571,0.0758476,-0.155291,12,0
-0.609171,0.0807398,-0.119446,15,2
-0.604316,0.0806329,-0.0533393,10,5
-1.59569,0.213194,0.312927,1,13
-1.31732,0.176703,0.356135,1,15
-0.574303,0.0778529,-0.155291,12,0
-0.527172,0.0715574,-0.122823,15,1
-0.601104,0.0818067,-0.11792,16,2
-0.631666,0.0865274,-0.0557797,9,5
-1.52884,0.209425,0.299952,1,13
-1.29755,0.178665,0.350959,1,15
-0.574041,0.0797569,-0.155291,12,0
-0.616385,0.0859692,-0.120973,15,2
-0.587968,0.0825288,-0.0519448,10,5
-1.52032,0.213668,0.298425,2,13
-1.29695,0.182967,0.350959,1,15
-0.573759,0.0817602,-0.155291,12,0
-0.588873,0.0842286,-0.11563,16,2
-0.611341,0.0879868,-0.0540366,10,5
-1.53904,0.221505,0.302241,2,13
-1.29631,0.187494,0.350959,1,15
-0.573485,0.0836624,-0.155291,12,0
-0.592475,0.0867497,-0.116393,16,2
-0.646526,0.09524,-0.0571742,9,5
-1.53437,0.226303,0.301478,2,13
-1.31479,0.19462,0.356135,1,15
-0.573205,0.0855636,-0.155291,12,0
-0.596068,0.0892954,-0.117157,16,2
-0.579222,0.0872889,-0.0512476,10,5
-1.52973,0.230804,0.300715,2,13
-0.628004,0.0948645,-0.0332857,14,6
-1.29885,0.196665,0.351994,1,15
-0.572918,0.0874639,-0.155291,12,0
-0.607412,0.0930554,-0.119446,15,2
-0.610436,0.0940641,-0.0540366,10,5
-1.54836,0.238869,0.304531,1,13
-0.556627,0.0859714,-0.0295175,16,6
-1.2638,0.195872,0.342676,1,15
-0.607083,0.0951751,-0.119446,15,2
-0.61404,0.096815,-0.0543852,9,5
-1.53588,0.242435,0.302241,1,13
-1.29745,0.205728,0.351994,1,15
-0.572293,0.0914617,-0.155291,12,0
-0.637763,0.102267,-0.125552,14,2
-0.613698,0.0989577,-0.0543852,9,5
-1.46525,0.236532,0.288503,1,13
-1.29676,0.210029,0.351994,1,15
-0.57197,0.0934588,-0.155291,12,0
-0.606404,0.0994112,-0.119446,15,2
-0.601554,0.0991552,-0.0533393,10,5
-1.27696,0.211399,0.346818,1,15
-0.571657,0.095355,-0.155291,12,0
-0.609944,0.10207,-0.12021,15,2
-0.61694,0.103794,-0.0547338,9,5
-1.3105,0.221654,0.356135,1,15
-0.571321,0.0973498,-0.155291,12,0
-0.620463,0.105946,-0.145318,12,1
-0.597973,0.102213,-0.11792,16,2
-0.600865,0.103248,-0.0533393,10,5
-0.570978,0.0993435,-0.155291,12,0
-0.572095,0.0997436,-0.134071,14,1
-0.647897,0.113076,-0.127842,14,2
-0.6162,0.108098,-0.0547338,9,5
-0.570627,0.101336,-0.155291,12,0
