x, y, z, intensity, ring
-15.5721,10.8673,0.331456,34,8
-14.5375,10.149,0.929173,31,9
-0.584277,0.408052,-0.138527,12,2
-0.712414,0.497912,-0.137662,12,3
-15.2228,10.6433,2.28066,53,11
-9.88497,6.91125,-1.48096,27,4
-15.5171,10.8531,2.99916,15,12
-14.7151,10.296,-1.57124,20,5
-20.795,14.5554,4.93394,29,13
-13.1048,9.1761,-0.838422,26,6
-21.5135,15.0639,6.06333,39,14
-15.843,11.0975,-0.337634,36,7
-21.2127,14.8643,6.94049,25,15
-12.7841,8.98481,0.272746,9,8
-14.5577,10.2351,0.932627,25,9
-0.557227,0.391916,-0.132421,13,2
-14.4013,10.1327,1.54056,39,10
-9.63239,6.77981,-1.86564,2,3
-15.2815,10.76,2.2948,43,11
-9.93828,6.9977,-1.49241,30,4
-18.1021,12.7507,3.50695,22,12
-14.6532,10.3252,-1.56828,37,5
-20.6407,14.5496,4.90875,15,13
-12.681,8.94212,-0.813196,87,6
-21.7135,15.3115,6.13397,48,14
-14.9106,10.5183,-0.318506,100,7
-21.5106,15.1796,7.05437,26,15
-14.3065,10.1258,0.305941,19,8
-14.4291,10.2164,0.926556,25,9
-0.597579,0.423266,-0.142344,11,2
-14.9707,10.6077,1.60523,54,10
-9.75974,6.91795,-1.89473,5,3
-15.3543,10.8875,2.31113,34,11
-9.91541,7.0335,-1.49266,37,4
-15.535,11.0198,3.01668,19,12
-14.6627,10.4048,-1.57299,37,5
-20.2658,14.3862,4.8309,15,13
-12.6268,8.96677,-0.811626,87,6
-21.698,15.4143,6.14476,56,14
-12.5852,8.94054,-0.269465,97,7
-21.6428,15.3807,7.11442,22,15
-12.5435,8.94057,0.268872,1,8
-14.3885,10.2632,0.926242,21,9
-0.567332,0.404823,-0.135474,12,2
-14.6239,10.4388,1.57194,57,10
-9.68047,6.91011,-1.88378,2,3
-14.9643,10.6858,2.25775,53,11
-9.96957,7.12173,-1.50436,13,4
-15.6315,11.1704,3.04296,33,12
-13.7511,9.83028,-1.47886,33,5
-20.2802,14.4978,4.84579,3,13
-21.8243,15.6132,6.19515,33,14
-14.5037,10.3798,-0.311316,24,7
-21.4617,15.3651,7.07249,17,15
-12.431,8.92598,0.267127,42,8
-0.489066,0.3513,-0.13902,13,1
-14.4434,10.3786,0.932104,10,9
-0.540477,0.388372,-0.129368,13,2
-14.5342,10.4477,1.56601,39,10
-0.699243,0.502827,-0.136411,12,3
-14.9865,10.7808,2.26677,53,11
-9.85442,7.09155,-1.49071,25,4
-15.2974,11.0125,2.9854,46,12
-11.9494,8.60235,-1.28816,15,5
-20.1658,14.5226,4.83052,34,13
-14.6673,10.5667,-0.947386,45,6
-21.776,15.6938,6.19695,33,14
-14.6085,10.5321,-0.314353,100,7
-21.1933,15.2851,7.00157,21,15
-12.6849,9.17559,0.27327,25,8
-0.431002,0.311878,-0.122823,15,1
-0.583647,0.42249,-0.140054,11,2
-14.3314,10.378,1.54806,52,10
-9.69598,7.02388,-1.8963,5,3
-14.9697,10.8482,2.26994,39,11
-9.96943,7.22727,-1.51191,13,4
-19.2999,13.9964,3.77602,19,12
-10.4838,7.60299,-1.13302,4,5
-20.0339,14.5341,4.81106,33,13
-12.4756,9.05409,-0.807858,65,6
-19.8445,14.4073,5.66157,60,14
-14.6849,10.6653,-0.316796,100,7
-21.2351,15.4282,7.03315,17,15
-12.3926,9.03021,0.26765,70,8
-0.474004,0.345523,-0.135421,13,1
-14.3837,10.4849,0.932836,14,9
-0.550443,0.401389,-0.132421,13,2
-14.4544,10.5442,1.56532,87,10
-0.708481,0.517012,-0.138914,5,3
-14.9029,10.8793,2.26555,48,11
-9.91849,7.2433,-1.50801,34,4
-15.0227,10.9708,2.94629,16,12
-10.4476,7.63248,-1.13198,9,5
-20.0512,14.6538,4.82747,28,13
-14.9205,10.9081,-0.968634,29,6
-19.5928,14.3292,5.60398,39,14
-13.4825,9.86045,-0.29156,100,7
-19.9724,14.6122,6.63094,30,15
-12.3835,9.08664,0.268104,36,8
-0.454004,0.333255,-0.130022,14,1
-0.574354,0.421905,-0.138527,12,2
-15.0357,11.0488,1.63243,23,10
-9.41236,6.9166,-1.84999,5,3
-15.0922,11.0945,2.29992,29,11
-11.9414,8.78148,-1.82,40,4
-19.22,14.1392,3.77914,21,12
-11.8651,8.73173,-1.28886,31,5
-20.0009,14.719,4.82709,6,13
-15.1094,11.1233,-0.983288,7,6
-19.5687,14.4115,5.61073,52,14
-13.427,9.89203,-0.291106,85,7
-19.9228,14.683,6.63146,3,15
-12.3485,9.12743,0.268034,37,8
-0.427767,0.3163,-0.122823,15,1
-14.6056,10.8036,0.952096,34,9
-0.588736,0.435482,-0.142344,11,2
-14.3903,10.6483,1.56619,35,10
-11.5014,8.5137,-2.26642,8,3
-14.9832,11.0951,2.28919,58,11
-10.298,7.6285,-1.57358,17,4
-14.8457,11.0013,2.92658,15,12
-10.2641,7.60615,-1.11769,19,5
-19.9384,14.7806,4.82441,6,13
-16.1678,11.9898,-1.05488,19,6
-19.6215,14.5563,5.64042,53,14
-12.506,9.28102,-0.271839,100,7
-19.8234,14.7168,6.61542,15,15
-0.457918,0.341073,-0.131821,14,1
-14.5198,10.8188,0.948956,48,9
-0.577766,0.430497,-0.140054,11,2
-15.2972,11.4022,1.66921,45,10
-9.45411,7.04944,-1.86783,6,3
-14.7312,10.9883,2.25653,34,11
-9.83542,7.33911,-1.50679,45,4
-19.2,14.3321,3.79479,11,12
-10.2918,7.68245,-1.12361,21,5
-19.8159,14.7972,4.80724,12,13
-12.8152,9.57307,-0.838317,42,6
-19.6424,14.6784,5.66112,33,14
-12.5072,9.34976,-0.272572,65,7
-19.7023,14.7338,6.59212,15,15
-0.469195,0.352025,-0.135421,13,1
-12.3926,9.29783,0.81194,34,9
-0.544856,0.408941,-0.132421,13,2
-14.9084,11.1935,1.63103,74,10
-9.3173,6.99817,-1.84561,10,3
-14.9197,11.2102,2.29139,43,11
-9.80816,7.3722,-1.50655,31,4
-19.1745,14.4123,3.79917,2,12
-10.2267,7.68959,-1.11943,4,5
-19.7029,14.8203,4.79236,12,13
-12.7738,9.61173,-0.837794,35,6
-19.6487,14.7902,5.67776,54,14
-12.5464,9.4441,-0.274107,100,7
-19.6024,14.7607,6.57504,18,15
-11.9427,9.01911,0.261228,43,8
-0.455586,0.344182,-0.131821,14,1
-12.3536,9.33621,0.811521,42,9
-0.562218,0.425048,-0.137001,12,2
-14.9073,11.2743,1.63522,27,10
-9.26569,7.00758,-1.83998,13,3
-14.6355,11.0727,2.25336,53,11
-9.94036,7.52329,-1.53068,16,4
-15.201,11.5089,3.01981,6,12
-10.2109,7.73367,-1.12065,19,5
-19.5613,14.8156,4.76984,27,13
-12.5189,9.48518,-0.82314,61,6
-19.5731,14.8353,5.67012,54,14
-19.5323,14.815,6.56883,18,15
-11.9414,9.08374,0.261891,70,8
-0.448178,0.341049,-0.130022,14,1
-12.3416,9.395,0.812882,49,9
-0.595172,0.453072,-0.145396,10,2
-9.17046,6.98601,-1.8259,16,3
-14.7483,11.2393,2.27676,29,11
-10.0798,7.68431,-1.55627,16,4
-15.2141,11.6026,3.03045,24,12
-10.1393,7.73245,-1.11559,11,5
-19.3753,14.7814,4.73702,15,13
-12.4397,9.49368,-0.820105,58,6
-19.7257,15.0596,5.7295,34,14
-12.4023,9.47198,-0.272397,30,7
-19.2256,14.6884,6.4829,29,15
-0.4601,0.35241,-0.155291,12,0
-12.3112,9.43307,0.270722,28,8
-0.422238,0.323644,-0.122823,15,1
-12.7399,9.76859,0.841353,42,9
-0.565544,0.433643,-0.138527,12,2
-14.3212,10.9851,1.57909,54,10
-9.22437,7.07811,-1.84155,6,3
-14.7783,11.3439,2.28749,53,11
-9.93011,7.62514,-1.53726,79,4
-15.1908,11.6689,3.03389,22,12
-9.93367,7.63064,-1.0959,28,5
-14.7779,11.3559,3.6227,6,13
-11.914,9.15849,-0.787552,26,6
-19.6498,15.1105,5.72275,41,14
-13.0079,10.0066,-0.286464,78,7
-19.0073,14.6271,6.42648,31,15
-0.421106,0.325116,-0.122823,15,1
-12.3865,9.56301,0.820105,32,9
-0.551596,0.426014,-0.135474,12,2
-14.2859,11.0374,1.57944,47,10
-9.88888,7.64299,-1.97952,6,3
-14.2235,10.9971,2.20754,52,11
-9.8045,7.58325,-1.5219,46,4
-9.84237,7.61528,-1.08875,9,5
-14.7475,11.4146,3.62499,15,13
-11.8599,9.1829,-0.786086,6,6
-19.4352,15.0537,5.67552,27,14
-12.5415,9.71415,-0.2769,64,7
-18.9541,14.6864,6.42492,14,15
-13.7689,10.6995,0.30437,47,8
-0.450797,0.35043,-0.131821,14,1
-12.5312,9.74473,0.831932,75,9
-0.584197,0.454457,-0.14387,11,2
-14.252,11.0909,1.57996,60,10
-10.2049,7.94143,-2.04804,2,3
-14.2245,11.0735,2.21339,19,11
-9.95002,7.74866,-1.54847,19,4
-18.4551,14.3773,3.70531,13,12
-10.1536,7.91291,-1.12623,26,5
-18.7482,14.6108,4.62025,22,13
-11.8357,9.22709,-0.786505,3,6
-18.8273,14.6831,5.5122,37,14
-15.0553,11.7456,-0.333306,59,7
-19.7983,15.4514,6.7293,7,15
-12.8732,10.0758,0.285347,9,8
-0.418883,0.327974,-0.122823,15,1
-12.4296,9.73206,0.827327,18,9
-0.588869,0.461234,-0.145396,10,2
-14.1838,11.1135,1.57647,81,10
-10.1973,7.99284,-2.05211,5,3
-14.2795,11.1966,2.22802,23,11
-9.88698,7.75517,-1.54287,19,4
-14.8667,11.6612,2.99259,37,12
-10.0913,7.91824,-1.12222,9,5
-14.6973,11.5366,3.63186,18,13
-12.8747,10.1096,-0.857891,29,6
-29.2781,22.9982,8.59538,37,14
-12.2864,9.65106,-0.272711,100,7
-12.8445,10.1221,0.285452,9,8
-0.417793,0.329362,-0.122823,15,1
-12.59,9.92875,0.840306,31,9
-0.58109,0.458423,-0.14387,11,2
-14.1105,11.1358,1.57264,37,10
-9.60321,7.57872,-1.9376,7,3
-14.2579,11.2562,2.23045,9,11
-11.8973,9.39594,-1.86143,20,4
-14.8119,11.702,2.98978,16,12
-9.95257,7.86571,-1.10984,26,5
-14.6713,11.595,3.63491,40,13
-12.5356,9.91068,-0.83748,29,6
-29.0259,22.9562,8.54364,12,14
-12.2416,9.6852,-0.272467,56,7
-12.0306,9.54902,0.268104,27,8
-0.416641,0.330818,-0.122823,15,1
-12.3615,9.8152,0.827222,23,9
-0.533447,0.423715,-0.132421,13,2
-13.9331,11.071,1.55695,87,10
-9.59681,7.62817,-1.94166,3,3
-14.1781,11.2737,2.22412,23,11
-9.70813,7.7222,-1.52312,13,4
-12.5799,10.0101,-1.40652,16,5
-14.8166,11.7941,3.68109,21,13
