x, y, z, intensity, ring
-1.40254,-33.4635,0.584621,36,8
-0.0223708,-0.531536,-0.122823,15,1
-0.822461,-19.5419,1.02505,27,9
-0.0245376,-0.580605,-0.112959,16,2
-1.82939,-43.1084,3.77489,13,10
-1.82011,-42.5393,5.22795,18,11
-0.0448049,-1.04717,-0.128694,72,4
-1.79833,-41.8591,6.63595,29,12
-0.0710101,-1.64618,-0.144156,7,5
-1.80581,-41.6938,8.11205,17,13
-1.91897,-44.1284,10.1975,16,14
-1.90145,-43.3767,11.6339,27,15
-1.51801,-33.5586,0.586366,18,8
-0.884633,-19.4812,1.02202,33,9
-0.0264628,-0.58052,-0.112959,16,2
-1.64245,-35.8932,3.14353,30,10
-1.68687,-36.5841,4.49674,14,11
-0.0481858,-1.04503,-0.12845,61,4
-2.01157,-43.4611,6.89094,8,12
-0.0754514,-1.62404,-0.142238,23,5
-1.94507,-41.7092,8.11625,8,13
-0.0780718,-1.66788,-0.0875057,4,6
-1.61809,-34.5679,7.98936,35,14
-1.71312,-36.3267,9.74454,17,15
-1.63191,-33.6073,0.587308,4,8
-0.0258956,-0.531375,-0.122823,15,1
-0.95585,-19.5438,1.02547,18,9
-1.76294,-35.9174,3.14615,50,10
-2.12925,-43.0735,5.29522,18,11
-0.0516365,-1.04089,-0.127963,49,4
-2.16641,-43.517,6.90095,8,12
-0.080044,-1.60786,-0.140844,39,5
-2.1923,-43.8829,8.54061,18,13
-0.0827021,-1.64966,-0.0865637,17,6
-1.74295,-34.6457,8.00871,11,14
-0.0852953,-1.68959,-0.0295295,2,7
-1.83562,-36.2356,9.72176,26,15
-0.0277503,-0.531282,-0.122823,15,1
-1.02166,-19.4945,1.02306,5,9
-1.51051,-28.7264,2.51671,29,10
-1.9285,-36.433,4.47967,29,11
-0.0553751,-1.04269,-0.128207,24,4
-1.8697,-35.0902,5.56563,24,12
-0.0863979,-1.6215,-0.142064,49,5
-2.2918,-42.8712,8.34522,9,13
-0.0870697,-1.62344,-0.0852029,39,6
-1.84325,-34.2561,7.92008,34,14
-0.0900067,-1.66732,-0.0291455,16,7
-1.96387,-36.2618,9.73056,8,15
-0.0965084,-1.73706,0.0303672,1,8
-1.56013,-27.8179,2.43757,6,10
-2.06752,-36.6361,4.50551,14,11
-0.0581167,-1.02663,-0.126257,9,4
-1.99341,-35.1052,5.56907,19,12
-0.0923405,-1.62117,-0.142064,52,5
-2.11274,-36.9785,7.19961,14,13
-0.0930191,-1.62311,-0.0852029,53,6
-1.96649,-34.3136,7.93492,11,14
-0.0944493,-1.64304,-0.0287267,36,7
-2.07319,-35.9558,9.65033,17,15
-0.0979078,-1.65285,0.0289012,6,8
-0.100266,-1.6827,0.0883431,1,9
-2.1994,-36.5887,4.50064,14,11
-0.0618792,-1.02641,-0.126257,9,4
-2.12588,-35.1607,5.57908,19,12
-0.0980406,-1.61684,-0.141715,51,5
-2.2442,-36.9038,7.18663,14,13
-0.0988459,-1.62076,-0.0850983,59,6
-2.66712,-43.7323,10.1151,16,14
-0.0992499,-1.62272,-0.0283776,49,7
-2.20556,-35.9576,9.65292,17,15
-0.103337,-1.6425,0.0287267,27,8
-0.10463,-1.65842,0.087087,6,9
-0.065588,-1.02817,-0.1265,6,4
-2.24545,-35.1038,5.57126,24,12
-0.102919,-1.60456,-0.140669,52,5
-2.81152,-43.7138,8.51466,9,13
-0.103989,-1.61243,-0.0846796,64,6
-2.80495,-43.4932,10.0621,16,14
-0.105817,-1.63633,-0.0286219,50,7
-2.32756,-35.8957,9.63842,17,15
-0.107991,-1.63018,0.0285172,42,8
-0.110923,-1.67002,0.0877151,22,9
-0.111234,-1.66591,0.146073,1,10
-0.0695289,-1.03587,-0.127475,7,4
-2.34527,-34.8498,5.53215,19,12
-0.107837,-1.59825,-0.140146,52,5
-2.50011,-36.9582,7.20037,28,13
-0.109335,-1.61208,-0.0846796,66,6
-3.04253,-44.8602,10.3806,17,14
-0.110836,-1.62999,-0.0285172,55,7
-2.45197,-35.9668,9.65965,17,15
-0.113396,-1.62981,0.0285172,59,8
-0.116055,-1.65966,0.0871917,46,9
-0.115921,-1.65361,0.145027,12,10
-0.0727248,-1.02968,-0.126744,9,4
-2.45727,-34.7054,5.51056,9,12
-0.113133,-1.59389,-0.139798,56,5
-2.61821,-36.8871,7.18816,28,13
-0.11383,-1.59975,-0.0840516,64,6
-2.59514,-36.3821,8.42082,12,14
-0.116524,-1.62959,-0.0285172,55,7
-2.52419,-35.2142,9.45984,16,15
-0.118501,-1.62143,0.0283776,66,8
-0.119361,-1.62539,0.0854123,52,9
-0.0428057,-0.581513,-0.113341,16,2
-0.122128,-1.65516,0.145201,40,10
-0.047791,-0.646159,-0.102621,14,3
-0.121676,-1.64512,0.202547,2,11
-0.0755848,-1.01952,-0.125525,7,4
-2.13659,-28.7513,4.56632,3,12
-0.118548,-1.5915,-0.139624,78,5
-2.62213,-35.1191,6.84546,25,13
-0.118649,-1.58538,-0.0833189,81,6
-0.121315,-1.61721,-0.0283078,59,7
-2.69924,-35.8987,9.64619,17,15
-0.124902,-1.62696,0.0284823,77,8
-0.125317,-1.62494,0.0854123,60,9
-0.0409103,-0.530467,-0.103418,18,2
-0.127137,-1.64479,0.14433,45,10
-0.0500463,-0.645988,-0.102621,14,3
-0.129088,-1.66247,0.204741,19,11
-0.079629,-1.0232,-0.126013,9,4
-2.29296,-29.3972,4.6702,3,12
-0.124722,-1.59902,-0.140321,74,5
-2.71578,-34.7398,6.77334,31,13
-0.124494,-1.58894,-0.0835282,100,6
-0.125672,-1.59682,-0.0279588,75,7
-2.80254,-35.5304,9.54991,16,15
-0.129461,-1.61257,0.028238,92,8
-0.130828,-1.6225,0.0853076,65,9
-0.0468643,-0.5812,-0.113341,16,2
-0.131113,-1.62249,0.142412,67,10
-0.0523009,-0.645809,-0.102621,14,3
-0.133927,-1.65014,0.203278,42,11
-0.0828785,-1.01896,-0.125525,7,4
-2.35672,-28.9125,4.59448,3,12
-0.129979,-1.5946,-0.139972,37,5
-2.85333,-34.9297,6.81226,25,13
-0.130529,-1.59447,-0.0838422,100,6
-0.131901,-1.60434,-0.0280984,97,7
-2.96208,-35.9517,9.66586,17,15
-0.134421,-1.60413,0.0280984,100,8
-0.137161,-1.62999,0.0857263,76,9
-0.0465881,-0.553644,-0.107998,17,2
-0.135436,-1.60614,0.141018,72,10
-0.0545548,-0.645623,-0.102621,14,3
-0.139853,-1.65164,0.203522,77,11
-0.0845885,-0.996904,-0.122844,4,4
-0.140914,-1.65729,0.263436,2,12
-0.135545,-1.59414,-0.139972,19,5
-3.01874,-35.4301,6.91187,26,13
-0.136604,-1.59998,-0.0841562,100,6
-3.05538,-35.7127,8.27505,48,14
-0.137159,-1.59989,-0.0280286,100,7
-3.01943,-35.1481,9.45259,16,15
-0.139498,-1.59768,0.0279937,100,8
-0.0463674,-0.529982,-0.122823,15,1
-0.142152,-1.62155,0.0853076,93,9
-0.0474917,-0.541744,-0.105708,18,2
-0.141565,-1.61161,0.141541,86,10
-0.0540371,-0.613944,-0.0976151,15,3
-0.1437,-1.62939,0.200841,93,11
-0.0877184,-0.992648,-0.122357,4,4
-0.145827,-1.64695,0.261871,11,12
-0.139175,-1.57182,-0.138055,43,5
-2.58425,-29.1283,5.6842,21,13
-0.141127,-1.58755,-0.0835282,100,6
-3.16394,-35.5213,8.23321,48,14
-0.143809,-1.61135,-0.028238,100,7
-3.14968,-35.222,9.47537,16,15
-0.14634,-1.61112,0.028238,100,8
-0.048217,-0.529817,-0.122823,15,1
-0.145718,-1.60118,0.0842609,99,9
-0.0529479,-0.580678,-0.113341,16,2
-0.147733,-1.61706,0.142064,94,10
-0.0590608,-0.645226,-0.102621,14,3
-0.148299,-1.61702,0.199378,100,11
-0.0906379,-0.986406,-0.121626,7,4
-0.151649,-1.65039,0.262497,23,12
-0.146488,-1.59117,-0.139798,52,5
-2.68159,-29.0721,5.67504,42,13
-0.146667,-1.58705,-0.0835282,100,6
-3.29025,-35.5353,8.23906,48,14
-0.148783,-1.60688,-0.0281682,100,7
-3.27038,-35.2537,9.48675,16,15
-0.151869,-1.61262,0.0282729,100,8
-0.0499737,-0.529654,-0.122823,15,1
-0.151683,-1.60464,0.0844702,99,9
-0.0549746,-0.580489,-0.113341,16,2
-0.153753,-1.6205,0.142412,100,10
-0.0634391,-0.668625,-0.106375,13,3
-0.153284,-1.61257,0.198891,100,11
-0.0922147,-0.968314,-0.119432,8,4
-0.154783,-1.62232,0.258117,38,12
-0.149956,-1.56883,-0.13788,93,5
-2.7877,-29.1647,5.69489,21,13
-0.153453,-1.60246,-0.0843656,100,6
-3.41737,-35.6212,8.26155,12,14
-0.153435,-1.5964,-0.0279937,100,7
-3.40546,-35.367,9.5204,8,15
-0.157108,-1.6081,0.0282031,100,8
-0.0518222,-0.529476,-0.122823,15,1
-0.157478,-1.60608,0.0845749,100,9
-0.0568993,-0.580304,-0.113341,16,2
-0.156789,-1.59619,0.140321,100,10
-0.074091,-0.752933,-0.119829,20,3
-0.160275,-1.62585,0.200597,100,11
-0.0940335,-0.952183,-0.117482,9,4
-0.160445,-1.62177,0.258117,54,12
-0.152019,-1.5366,-0.135091,74,5
-2.88929,-29.1529,5.6945,17,13
-0.160229,-1.61384,-0.0849936,17,6
-3.53842,-35.5761,8.2539,12,14
-0.158609,-1.59187,-0.0279239,100,7
-3.54712,-35.5376,9.56958,17,15
-0.162318,-1.60356,0.0281333,100,8
-0.0536702,-0.529292,-0.122823,15,1
-0.16389,-1.61347,0.0849936,100,9
-0.0589245,-0.580102,-0.113341,16,2
-0.162763,-1.5996,0.140669,100,10
-0.0733136,-0.719261,-0.11451,11,3
-0.165143,-1.61738,0.199622,100,11
-0.0961447,-0.94,-0.11602,10,4
-0.166105,-1.6212,0.258117,66,12
-0.115142,-1.1238,-0.0988346,51,5
-2.96818,-28.92,5.651,46,13
-0.163819,-1.5934,-0.0839469,15,6
-3.63164,-35.263,8.18417,24,14
-0.165807,-1.60722,-0.0282031,100,7
-3.6497,-35.3174,9.51367,16,15
-0.16729,-1.59702,0.0280286,100,8
-0.0555174,-0.529101,-0.122823,15,1
-0.169104,-1.60892,0.0847843,100,9
-0.168555,-1.601,0.140844,100,10
-0.0762381,-0.72293,-0.115136,11,3
-0.169537,-1.60495,0.19816,100,11
-0.0979633,-0.92584,-0.114313,12,4
-0.172595,-1.62847,0.259368,70,12
-0.117805,-1.11151,-0.0977887,58,5
