x, y, z, intensity, ring
0.275147,0.424826,-0.135621,15,0
11.1748,17.2471,0.358717,31,8
0.32328,0.49876,-0.13722,13,1
12.3776,19.0962,1.19263,16,9
3.42438,5.28115,-1.22347,21,2
14.2992,22.0441,2.29882,49,10
3.86244,5.95218,-1.12383,23,3
16.6032,25.5765,3.74407,24,11
4.45317,6.85991,-1.0042,15,4
19.1235,29.4477,5.56125,24,12
5.19158,7.99129,-0.833732,17,5
18.4622,28.4076,6.58558,35,13
6.29465,9.6818,-0.605213,33,6
18.9892,29.2074,8.0429,47,14
8.00158,12.3026,-0.256166,93,7
25.133,38.6277,12.3483,15,15
0.284999,0.436855,-0.139762,14,0
11.2636,17.2585,0.359729,29,8
0.316409,0.484631,-0.133621,14,1
12.4627,19.0885,1.19473,6,9
3.4365,5.26154,-1.22156,21,2
15.5383,23.7812,2.48533,28,10
3.88215,5.93934,-1.12383,27,3
16.7987,25.6908,3.76893,24,11
4.46721,6.83182,-1.00225,17,4
19.1886,29.3345,5.55186,29,12
5.20933,7.96069,-0.832337,17,5
18.7187,28.5943,6.64321,24,13
6.30483,9.62746,-0.60312,37,6
19.1746,29.2795,8.08024,47,14
8.01823,12.2391,-0.255399,93,7
0.286446,0.435907,-0.139762,14,0
11.301,17.191,0.359101,47,8
0.320156,0.486835,-0.134521,14,1
13.4337,20.4198,1.28097,22,9
3.44314,5.23372,-1.21774,21,2
15.4374,23.4566,2.45675,27,10
3.89966,5.92313,-1.1232,23,3
16.9701,25.7659,3.78819,24,11
4.48011,6.7996,-0.999816,19,4
16.9167,25.6652,4.86855,18,12
5.22912,7.93339,-0.831291,17,5
19.4056,29.4302,6.85233,6,13
6.30923,9.56482,-0.600503,37,6
19.2906,29.2336,8.08609,59,14
8.03226,12.1677,-0.254491,93,7
0.279434,0.422019,-0.135621,15,0
11.2604,16.9997,0.355924,18,8
0.343382,0.518204,-0.143519,12,1
13.4718,20.3229,1.27783,24,9
3.45922,5.2184,-1.21698,21,2
15.7659,23.7745,2.49579,28,10
3.90284,5.88315,-1.11819,28,3
16.2016,24.413,3.59758,23,11
4.50162,6.78062,-0.999329,19,4
21.7175,32.6999,6.21733,24,12
5.24686,7.90015,-0.829723,17,5
19.4909,29.3361,6.84623,6,13
6.33373,9.52943,-0.599665,37,6
19.4476,29.2488,8.10904,11,14
8.03038,12.073,-0.253095,94,7
26.0228,39.1082,12.5869,16,15
0.280905,0.421041,-0.135621,15,0
11.1843,16.7574,0.351666,24,8
0.336532,0.504037,-0.13992,13,1
13.6114,20.3787,1.28432,16,9
3.46869,5.19323,-1.21393,21,2
15.6761,23.4609,2.4686,28,10
3.91566,5.85799,-1.116,26,3
16.4356,24.5791,3.63049,11,11
4.5076,6.73846,-0.995429,19,4
19.9265,29.7771,5.67482,20,12
5.25557,7.85364,-0.826759,17,5
19.6226,29.312,6.85653,31,13
6.34696,9.47739,-0.597781,37,6
19.8587,29.6422,8.23726,60,14
8.04576,12.005,-0.252257,94,7
0.295307,0.439297,-0.141833,14,0
11.2237,16.6901,0.351073,24,8
0.331763,0.493157,-0.13722,13,1
12.9175,19.1944,1.21252,1,9
3.4868,5.18109,-1.21393,21,2
15.8324,23.5168,2.48028,14,10
3.93388,5.84101,-1.11538,25,3
17.2712,25.6345,3.79526,24,11
4.51778,6.70294,-0.992504,24,4
20.1927,29.9482,5.72081,5,12
5.2629,7.80551,-0.823622,19,5
20.1223,29.8325,6.99468,46,13
6.36882,9.43862,-0.596735,37,6
19.8726,29.4402,8.20037,60,14
8.04621,11.9155,-0.250966,94,7
20.2026,29.9066,9.67052,8,15
0.292505,0.431865,-0.139762,14,0
11.2,16.5299,0.348525,23,8
0.331295,0.48877,-0.13632,13,1
3.50156,5.16401,-1.21278,23,2
16.5162,24.3485,2.57406,45,10
3.94427,5.81253,-1.11256,23,3
16.6336,24.5032,3.63634,11,11
4.52665,6.66577,-0.989335,22,4
20.3437,29.9461,5.73395,35,12
5.29371,7.78947,-0.82397,19,5
20.2263,29.7621,6.99468,26,13
6.37141,9.37174,-0.593908,40,6
20.2295,29.7445,8.30474,24,14
8.06413,11.8527,-0.250233,94,7
20.2645,29.7736,9.65033,17,15
0.272301,0.39888,-0.12941,15,0
11.1923,16.395,0.3465,23,8
0.340692,0.498876,-0.13947,26,1
14.2387,20.8419,1.32284,82,9
