x, y, z, intensity, ring
-4.88067,9.93634,0.193233,71,8
-0.258515,0.526531,-0.135421,13,1
-7.10187,14.4711,0.844807,20,9
-5.15247,10.4989,-2.2733,26,2
-10.6972,21.8068,2.12503,26,10
-6.74164,13.7493,-2.42536,15,3
-5.73102,11.6933,1.59893,54,11
-7.10184,14.4967,-1.98208,51,4
-14.593,29.8012,5.25557,17,12
-7.13776,14.5829,-1.42046,30,5
-7.52966,15.3835,3.32924,5,13
-4.88195,9.97853,-0.582185,100,6
-6.16738,12.6115,3.24109,24,14
-4.78958,9.79838,-0.190371,34,7
-6.07819,12.4401,3.70991,48,15
-4.90899,10.0828,0.195746,66,8
-0.282258,0.579998,-0.148918,12,1
-8.89386,18.2837,1.06556,8,9
-5.10279,10.4948,-2.26834,52,2
-6.79392,13.9853,-2.46259,19,3
-5.74742,11.8311,1.61501,29,11
-5.32568,10.9678,-1.49704,28,4
-19.841,40.879,7.19692,9,12
-4.69787,9.68348,-0.941631,14,5
-6.34505,13.0845,2.82664,10,13
-4.83663,9.97838,-0.581138,94,6
-6.20439,12.8059,3.28519,45,14
-4.77104,9.84743,-0.190999,20,7
-6.71171,13.8591,4.12609,10,15
-0.291979,0.605604,-0.155216,11,1
-6.93128,14.3764,0.836433,18,9
-4.90675,10.1818,-2.19697,52,2
-6.83076,14.1869,-2.49388,31,3
-5.61879,11.675,1.59088,47,11
-7.01165,14.5691,-1.98525,47,4
-9.22524,19.1772,3.37054,20,12
-5.91748,12.3121,2.6553,16,13
-4.81648,10.0258,-0.582918,37,6
-6.00831,12.5067,3.2033,27,14
-4.82926,10.0569,-0.194734,32,7
-5.88754,12.2663,3.64573,13,15
-0.250144,0.522793,-0.155291,12,0
-5.13786,10.7428,0.207858,52,8
-0.264754,0.553824,-0.141719,13,1
-4.94321,10.3451,-2.22865,19,2
-8.90544,18.6455,1.80778,15,10
-6.77942,14.2006,-2.49231,84,3
-5.56551,11.6631,1.58674,36,11
-6.95304,14.5708,-1.98233,54,4
-4.63442,9.72063,-0.942154,50,5
-5.88676,12.3529,2.65988,5,13
-7.26971,15.2618,-0.885943,64,6
-5.96847,12.53,3.2042,29,14
-4.81995,10.1234,-0.195711,32,7
-5.978,12.5613,3.72751,10,15
-0.248409,0.52362,-0.155291,12,0
