x, y, z, intensity, ring
-1.3135,0.754079,-0.405828,2,0
-1.33869,0.768847,0.0269465,100,8
-1.33148,0.765016,-0.354523,5,1
-1.35237,0.777335,0.0817488,100,9
-0.590632,0.339491,-0.132421,13,2
-1.34721,0.774682,0.135963,100,10
-1.29277,0.743675,-0.236216,8,3
-1.3661,0.786175,0.193529,100,11
-1.33155,0.766604,-0.188654,100,4
-22.9307,13.2071,4.19119,31,12
-1.32768,0.764684,-0.134046,100,5
-23.5787,13.5858,5.28961,30,13
-1.35142,0.778986,-0.0817488,138,6
-22.9743,13.2482,6.12272,64,14
-1.34587,0.776412,-0.027121,100,7
-1.29247,0.748014,-0.400134,2,0
-1.33253,0.771511,0.0268767,100,8
-1.36002,0.788059,0.0823768,100,9
-0.589443,0.341551,-0.132421,13,2
-1.34967,0.782377,0.136486,100,10
-1.29187,0.749174,-0.236529,12,3
-1.35476,0.785958,0.19231,100,11
-1.34432,0.780216,-0.190847,100,4
-22.7888,13.2315,4.17367,30,12
-1.32156,0.767313,-0.133697,100,5
-1.34524,0.781692,-0.0815394,125,6
-22.9195,13.3234,6.12047,48,14
-1.34315,0.781105,-0.027121,100,7
-1.33674,0.78019,0.0270163,100,8
-1.32947,0.776259,-0.355423,5,1
-1.35567,0.791557,0.0822721,100,9
-0.588248,0.343606,-0.132421,13,2
-1.35037,0.789094,0.136835,100,10
-1.28755,0.752682,-0.236216,16,3
-1.34344,0.785671,0.191091,100,11
-1.32788,0.776884,-0.188898,100,4
-21.3092,12.4671,3.91024,15,12
-1.32575,0.775947,-0.134394,100,5
-1.33216,0.780326,-0.0809114,134,6
-23.5891,13.823,6.31213,17,14
-1.3371,0.783533,-0.0270512,100,7
-23.3356,13.68,7.24797,18,15
-1.3072,0.768771,-0.406346,2,0
-1.33587,0.785632,0.0270512,100,8
-1.32689,0.780663,-0.355423,5,1
-1.34258,0.790206,0.0816441,100,9
-0.570127,0.335696,-0.128605,14,2
-1.35104,0.795825,0.137183,100,10
