x, y, z, intensity, ring
-3.33161,-1.56632,0.0642598,1,8
-0.453273,-0.213004,-0.115625,16,1
-3.33506,-1.56723,0.19312,1,9
-3.38699,-1.59019,0.327357,1,10
-3.46859,-1.62702,0.470416,1,11
-3.34637,-1.56898,0.585378,8,12
-0.465457,-0.218135,-0.0449724,12,5
-3.00814,-1.40912,0.645698,1,13
-0.510083,-0.238832,-0.0295175,16,6
-3.41222,-1.59695,-0.0657607,2,7
-2.48129,-1.16074,0.734011,1,15
-3.31866,-1.54681,0.0639107,1,8
-3.3568,-1.56316,0.194062,1,9
-3.39613,-1.58003,0.327706,1,10
-3.47397,-1.61551,0.470416,1,11
-3.34824,-1.55562,0.584752,8,12
-3.03773,-1.41071,0.65104,1,13
-0.510872,-0.237139,-0.0295175,16,6
-3.41777,-1.58503,-0.0657607,2,7
-2.52038,-1.16832,0.744364,1,15
-3.3422,-1.5436,0.0642598,1,8
-3.3568,-1.54893,0.193748,1,9
-3.37964,-1.55875,0.325614,1,10
-3.36263,-1.54806,0.586316,8,12
-0.511696,-0.235354,-0.0295175,16,6
-3.42329,-1.57309,-0.0657607,2,7
-2.43667,-1.1192,0.718482,1,15
-3.32574,-1.52194,0.0638409,1,8
-0.483796,-0.221295,-0.122823,15,1
-3.3749,-1.54301,0.19448,1,9
-3.38896,-1.54801,0.325962,1,10
-3.37879,-1.54123,0.588194,9,12
-3.42876,-1.56113,-0.0657607,2,7
-2.44759,-1.11389,0.720552,1,15
-3.36773,-1.52625,0.064539,1,8
-0.484604,-0.21952,-0.122823,15,1
-3.37117,-1.5271,0.193957,1,9
-3.37619,-1.52796,0.324219,1,10
-3.38235,-1.52861,0.587881,9,12
-0.513367,-0.231686,-0.0295175,16,6
-2.74271,-1.23723,0.694649,1,14
-2.44795,-1.10375,0.719517,2,15
-3.37277,-1.51508,0.064539,1,8
-0.460441,-0.206737,-0.116525,16,1
-3.38012,-1.51696,0.194166,1,9
-3.4215,-1.53409,0.328054,1,10
-3.37685,-1.51195,0.586004,8,12
-0.505565,-0.226256,-0.0484586,11,5
-2.72545,-1.21858,0.68925,1,14
-2.89187,-1.29238,-0.0552892,1,7
-2.45531,-1.09677,0.720552,1,15
-3.37804,-1.50329,0.064539,1,8
-3.38878,-1.50737,0.194376,1,9
-3.43385,-1.52598,0.328751,1,10
-3.50163,-1.55463,0.470416,1,11
-3.38907,-1.50395,0.587255,9,12
-0.514933,-0.228187,-0.0295175,16,6
-2.75463,-1.22011,0.695549,1,14
-2.88517,-1.27793,-0.0550798,1,7
-2.43067,-1.07611,0.71227,1,15
-0.465404,-0.205171,-0.117424,16,1
-3.42144,-1.50761,0.195946,1,9
-3.40998,-1.50114,0.325962,1,10
-3.38706,-1.48893,0.586004,8,12
-0.507093,-0.22281,-0.0484586,11,5
-2.76223,-1.21254,0.696449,1,14
-2.86764,-1.25821,-0.0546609,3,7
-2.46095,-1.07926,0.720035,2,15
-3.40812,-1.48826,0.194899,1,9
-3.4332,-1.49779,0.327706,1,10
-3.41009,-1.48558,0.589132,8,12
-0.507829,-0.221127,-0.0484586,11,5
-2.75215,-1.19667,0.692849,1,14
-2.85712,-1.24231,-0.0543817,1,7
-2.46983,-1.0734,0.721588,2,15
-0.466789,-0.201998,-0.117424,16,1
-3.39313,-1.46763,0.193748,1,9
-3.42377,-1.47947,0.326311,1,10
-3.40437,-1.46897,0.587255,8,12
-0.508598,-0.219353,-0.0484586,11,5
-2.74537,-1.18291,0.69015,1,14
-2.9092,-1.2529,-0.0552892,1,7
-2.47711,-1.0663,0.722623,1,15
-2.86521,-1.22862,0.0544166,1,8
-0.488986,-0.20958,-0.122823,15,1
-3.39981,-1.45716,0.193852,1,9
-3.4543,-1.47909,0.328751,1,10
-3.40196,-1.45457,0.586004,8,12
-0.509323,-0.217665,-0.0484586,11,5
-2.75127,-1.17408,0.6906,1,14
-2.84344,-1.21342,-0.0539628,1,7
-2.47353,-1.05505,0.720552,1,15
-2.86927,-1.21912,0.0544166,1,8
-0.453804,-0.192722,-0.113825,16,1
-3.41223,-1.44841,0.194271,0,9
-3.45944,-1.46702,0.328751,1,10
-3.40884,-1.44346,0.586316,8,12
-2.76592,-1.16951,0.693299,2,14
-2.84766,-1.20349,-0.0539628,1,7
-2.47719,-1.04641,0.720552,1,15
-2.88457,-1.21375,0.054626,1,8
-3.45384,-1.45257,0.196365,0,9
-3.44959,-1.44937,0.327357,1,10
-3.42636,-1.43749,0.588507,8,12
-2.76279,-1.15684,0.6915,2,14
-2.84795,-1.19249,-0.053893,3,7
-2.46639,-1.03222,0.716411,1,15
-2.84428,-1.18571,0.0537883,1,8
-3.45151,-1.43743,0.195946,0,9
-3.46935,-1.44344,0.328751,1,10
-3.43318,-1.42628,0.588819,8,12
-2.77562,-1.1514,0.693749,2,14
-2.87795,-1.19326,-0.0543817,3,7
-2.47712,-1.02656,0.718482,2,15
-2.92234,-1.20629,0.0551845,1,8
-0.491793,-0.202903,-0.122823,15,1
-3.42696,-1.41319,0.194271,1,9
-3.51833,-1.45015,0.332935,1,10
-3.44727,-1.41805,0.590384,7,12
-0.512239,-0.210711,-0.0484586,11,5
-2.7634,-1.13504,0.6897,1,14
-2.8784,-1.18169,-0.0543119,3,7
-2.48784,-1.02084,0.720552,1,15
-2.95985,-1.2097,0.0558128,1,8
-0.467242,-0.190868,-0.116525,16,1
-3.44297,-1.40575,0.194899,1,9
-3.52337,-1.43786,0.332935,1,10
-3.42842,-1.39632,0.586316,6,12
-0.512971,-0.208922,-0.0484586,11,5
-2.90474,-1.18067,-0.0547307,1,7
-2.96405,-1.19936,0.0558128,1,8
-0.467906,-0.189236,-0.116525,16,1
-3.44971,-1.39447,0.195004,1,9
-3.52837,-1.42555,0.332935,1,10
-3.4351,-1.38508,0.586629,5,12
-2.88658,-1.16157,-0.0543119,1,7
-2.96822,-1.18901,0.0558128,1,8
-0.468563,-0.187602,-0.116525,16,1
-3.45085,-1.38094,0.194794,1,9
-3.50742,-1.40287,0.330495,1,10
-3.43991,-1.37308,0.586629,5,12
-2.89433,-1.15297,-0.0543817,1,7
-2.97236,-1.17864,0.0558128,1,8
-0.494578,-0.196017,-0.122823,15,1
-3.47397,-1.37685,0.195841,1,9
-3.48266,-1.37888,0.327706,1,10
-3.56268,-1.40913,0.470416,1,11
-3.44812,-1.36312,0.587255,5,12
-0.515131,-0.203539,-0.0484586,11,5
-2.94651,-1.16244,-0.0552892,1,7
-0.495226,-0.194376,-0.122823,15,1
-3.45645,-1.35596,0.194585,1,9
-3.5431,-1.38853,0.332935,1,10
-3.56733,-1.3973,0.470416,1,11
-3.45654,-1.35252,0.587881,5,12
-3.02783,-1.18416,0.631959,1,13
-2.9878,-1.1667,-0.0559873,1,7
-0.495901,-0.192646,-0.122823,15,1
-3.49071,-1.35606,0.19626,1,9
-3.51054,-1.36235,0.329449,1,10
-3.57219,-1.38484,0.470416,1,11
-3.45364,-1.33819,0.586629,5,12
-0.516504,-0.200028,-0.0484586,11,5
-3.07222,-1.18917,0.640355,1,13
-2.95435,-1.14236,-0.0552892,1,7
-3.4507,-1.32806,0.064539,1,8
-3.49333,-1.34376,0.196155,1,9
-3.55223,-1.365,0.332935,1,10
-3.44883,-1.32319,0.585065,4,12
-3.07798,-1.17968,0.640737,2,13
-0.525959,-0.201475,-0.0295175,16,6
-2.80066,-1.07283,0.692399,1,14
-2.54762,-0.97488,0.730905,1,15
-3.49993,-1.33369,0.0653767,1,8
-0.458924,-0.174787,-0.113375,16,1
-3.50336,-1.3343,0.196469,1,9
-3.50087,-1.33195,0.327706,1,10
-3.58129,-1.36112,0.470416,1,11
-3.4532,-1.31175,0.585065,4,12
-3.07637,-1.16738,0.639592,2,13
-2.8042,-1.06354,0.692399,4,14
-2.50748,-0.95,0.718482,1,15
-3.44072,-1.29808,0.06419,1,8
-0.474089,-0.178765,-0.116975,16,1
-3.51338,-1.32479,0.196783,1,9
-3.56121,-1.34141,0.332935,1,10
-3.44644,-1.29612,0.583188,4,12
-0.518469,-0.19488,-0.0484586,11,5
-3.08574,-1.15924,0.640737,2,13
-2.81319,-1.05629,0.693749,5,14
-2.50338,-0.938965,0.716411,1,15
-3.5204,-1.31342,0.0655861,1,8
-0.460133,-0.171579,-0.113375,16,1
-3.49762,-1.30423,0.195632,1,9
-3.5661,-1.32835,0.332935,1,10
-3.45857,-1.28623,0.584439,4,12
-0.51918,-0.192978,-0.0484586,11,5
-3.07893,-1.14382,0.638447,2,13
-2.81357,-1.04412,0.692849,5,14
-2.50318,-0.928441,0.715376,1,15
-3.48346,-1.2865,0.0648182,1,8
-0.471669,-0.174101,-0.116075,16,1
-3.50777,-1.29409,0.195946,1,9
-3.57071,-1.31589,0.332935,1,10
-3.43153,-1.26256,0.57912,2,12
-0.51985,-0.191165,-0.0484586,11,5
-3.10666,-1.14241,0.643408,2,13
-0.528652,-0.194297,-0.0295175,16,6
-2.81702,-1.03479,0.692849,5,14
-2.51729,-0.92369,0.718482,1,15
-3.51798,-1.28531,0.0653767,1,8
-0.46129,-0.168443,-0.113375,16,1
-3.53103,-1.28868,0.196993,1,9
-3.54885,-1.29448,0.330495,1,10
-3.4322,-1.24922,0.578495,2,12
-3.09771,-1.12686,0.640737,2,13
-2.82427,-1.02628,0.693749,5,14
-2.52776,-0.917533,0.720552,1,15
-3.53373,-1.2771,0.0655861,1,8
-0.498533,-0.180073,-0.122373,15,1
-3.52987,-1.27431,0.196679,1,9
-3.57959,-1.29155,0.332935,1,10
-3.60428,-1.29904,0.470416,1,11
-3.41424,-1.2292,0.57474,2,12
-3.09054,-1.11205,0.638447,2,13
-0.529996,-0.190601,-0.0295175,16,6
-2.83517,-1.01905,0.695549,5,14
-2.53095,-0.908705,0.720552,1,15
-3.50051,-1.2513,0.064888,1,8
-3.55289,-1.26932,0.197725,1,9
-3.58407,-1.27905,0.332935,1,10
-3.44807,-1.22848,0.579746,2,12
-0.521791,-0.185801,-0.0484586,11,5
-3.0907,-1.09994,0.637684,2,13
-2.83871,-1.00915,0.695549,5,14
-2.54123,-0.902894,0.722623,1,15
-3.52726,-1.24768,0.0653069,1,8
-0.474024,-0.167582,-0.116075,16,1
-3.5347,-1.24893,0.196469,1,9
-3.58852,-1.26653,0.332935,1,10
-3.42625,-1.20725,0.575366,2,12
-0.522436,-0.183979,-0.0484586,11,5
-3.08508,-1.08643,0.635776,2,13
-2.83102,-0.995847,0.692849,5,14
-1.93178,-0.679152,-0.0357425,1,7
-2.5225,-0.886333,0.716411,1,15
-3.58445,-1.25385,0.0662842,1,8
-0.474606,-0.165926,-0.116075,16,1
-3.52772,-1.23263,0.195841,1,9
-3.5927,-1.25463,0.332935,1,10
-3.61746,-1.26186,0.470416,1,11
-3.41179,-1.18878,0.572237,2,12
-0.523043,-0.182245,-0.0484586,11,5
-0.531931,-0.185134,-0.0295175,16,6
-2.83447,-0.98596,0.692849,4,14
-1.91525,-0.665837,-0.0353935,1,7
-2.52558,-0.877522,0.716411,1,15
-3.5888,-1.24133,0.0662842,1,8
-3.55277,-1.22748,0.196993,1,9
-3.59705,-1.24208,0.332935,1,10
-3.39538,-1.16978,0.568796,2,12
-0.532574,-0.183276,-0.0295175,16,6
-2.83974,-0.976693,0.693299,4,14
-1.93648,-0.665648,-0.0357425,1,7
-2.53593,-0.871212,0.718482,1,15
-3.56284,-1.21844,0.0657258,1,8
-3.5795,-1.22344,0.198249,1,9
-3.60137,-1.22951,0.332935,1,10
-3.41419,-1.16362,0.571299,4,12
-2.84682,-0.968029,0.694199,4,14
-2.52783,-0.859068,0.715376,1,15
-3.59717,-1.21687,0.0662842,1,8
-0.465213,-0.157285,-0.113375,16,1
-3.5951,-1.21478,0.198877,0,9
