x, y, z, intensity, ring
12.0392,-11.4368,0.28985,45,8
0.384235,-0.365136,-0.122373,15,1
29.0612,-27.6263,2.10139,10,9
0.461024,-0.438261,-0.123644,14,2
17.7846,-16.9124,2.14717,22,10
28.8526,-27.4567,4.89037,16,11
5.12427,-4.87807,-0.868685,24,4
12.2309,-11.6473,2.67503,22,12
12.6002,-12.0032,3.38266,10,13
11.609,-11.0628,-0.840411,32,6
12.5705,-11.9833,4.00953,30,14
11.6308,-11.0914,-0.28053,24,7
12.4686,-11.8945,4.61733,13,15
11.94,-11.422,0.288418,14,8
0.382958,-0.366475,-0.122373,15,1
39.0783,-37.4093,2.83514,9,9
0.462251,-0.442663,-0.124407,14,2
17.5038,-16.768,2.12067,10,10
3.71247,-3.55764,-0.814398,25,3
17.3809,-16.656,2.95582,16,11
5.12441,-4.91242,-0.87161,30,4
12.2087,-11.7077,2.6791,35,12
6.07896,-5.83155,-0.736989,48,5
12.5093,-12.0044,3.37007,22,13
28.8116,-27.668,9.22209,13,14
11.5776,-11.1181,-0.280181,26,7
12.4229,-11.9339,4.61578,2,15
11.9585,-11.524,0.289884,43,8
0.381613,-0.367876,-0.122373,15,1
11.9169,-11.4919,0.867626,11,9
0.452224,-0.436098,-0.122118,15,2
31.6784,-30.5594,3.85089,14,10
3.75404,-3.6227,-0.826287,31,3
28.3211,-27.3399,4.83334,31,11
6.04025,-5.833,-1.03101,26,4
4.05604,-3.91961,-0.493476,10,5
17.3083,-16.7261,4.67864,25,13
7.61932,-7.3656,-0.555389,35,6
27.9612,-27.0396,8.98005,13,14
11.6417,-11.2619,-0.282729,100,7
12.3693,-11.97,4.61216,16,15
11.7976,-11.4487,0.286952,26,8
0.352361,-0.342058,-0.113375,16,1
28.0576,-27.2468,2.04969,9,9
0.439357,-0.426808,-0.119065,15,2
29.3943,-28.5648,3.58594,12,10
3.8668,-3.75898,-0.854132,50,3
17.3737,-16.8893,2.97507,48,11
28.9784,-28.1901,6.40318,26,12
4.04947,-3.94069,-0.494347,18,5
17.2469,-16.7894,4.67864,11,13
11.7919,-11.4832,-0.862601,39,6
27.7698,-27.0521,8.95035,13,14
11.684,-11.382,-0.284719,100,7
12.3164,-12.0023,4.60801,20,15
11.7027,-11.4401,0.285661,45,8
0.37897,-0.370597,-0.122373,15,1
32.926,-32.2098,2.41394,6,9
0.440671,-0.431085,-0.119828,15,2
32.88,-32.176,4.02485,15,10
4.08798,-4.00184,-0.906069,6,3
17.3826,-17.0223,2.98726,33,11
28.9369,-28.3569,6.41694,26,12
