x, y, z, intensity, ring
0,-0,0,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
6.86459,-2.53326,1.10454,12,32765
6.85637,-2.55578,1.10372,12,32765
6.885,-2.592,1.10993,12,32765
6.80258,-2.58634,1.09787,12,32765
6.83104,-2.62255,1.10411,12,32765
6.78566,-2.6305,1.0977,12,32765
6.77704,-2.65262,1.09768,12,32765
6.80497,-2.68942,1.10425,13,32765
6.7226,-2.68238,1.09267,12,32765
6.73217,-2.71174,1.09541,12,32765
6.72323,-2.73346,1.09637,12,32765
6.73251,-2.76297,1.09947,12,32765
6.33057,-2.62224,1.03565,14,32765
6.25799,-2.61655,1.02509,17,32765
6.12159,-2.58355,1.00485,18,32765
6.14016,-2.61532,1.01046,15,32765
6.48558,-2.78791,1.06977,12,32765
6.12258,-2.65576,1.01166,20,32765
6.313,-2.76308,1.04514,12,32765
6.05959,-2.67583,1.00566,19,32765
6.05079,-2.69554,1.00598,15,32765
6.40248,-2.87748,1.06694,12,32765
6.15878,-2.79215,1.02903,14,32765
6.02351,-2.75483,1.00908,15,32765
5.96048,-2.74987,1.00023,15,32765
5.92423,-2.75698,0.997347,17,32765
6.20135,-2.91087,1.04642,12,32765
5.99506,-2.838,1.01443,13,32765
5.89617,-2.81544,1.0003,16,32765
5.99342,-2.88673,1.0191,12,32765
5.99239,-2.91111,1.02188,13,32765
6.26655,-3.07011,1.07162,12,32765
6.40704,-3.16471,1.09877,12,32765
6.22862,-3.10147,1.07089,12,32765
6.35068,-3.18827,1.09541,12,32765
6.26053,-3.1691,1.08287,12,32765
6.24958,-3.19014,1.08434,12,32765
6.20335,-3.19303,1.08009,12,32765
6.22727,-3.23221,1.08812,12,32765
6.21618,-3.25299,1.08954,12,32765
6.20515,-3.27371,1.09035,12,32765
6.15904,-3.27587,1.0856,12,32765
6.14795,-3.29591,1.08777,12,32765
6.11947,-3.30674,1.08587,12,32765
6.04756,-3.2938,1.07647,12,32765
6.03658,-3.31354,1.07753,13,32765
6.05985,-3.35264,1.08541,12,32765
6.02272,-3.35789,1.08247,12,32765
5.96833,-3.35369,1.07548,12,32765
6.00865,-3.40245,1.08605,12,32765
5.94559,-3.39291,1.07845,12,32765
5.96839,-3.43226,1.08573,12,32765
5.88847,-3.41204,1.07518,12,32765
5.80008,-3.3868,1.06238,12,32765
5.70353,-3.35582,1.04797,12,32765
5.70082,-3.37962,1.05017,12,32765
5.68087,-3.39344,1.04992,12,32765
5.7034,-3.43232,1.05734,13,32765
5.85228,-3.54843,1.08827,14,32765
5.84026,-3.56757,1.09025,13,32765
5.21437,-3.209,0.976042,14,32765
5.13641,-3.18462,0.964299,21,32765
0,-0,0,0,32765
5.09021,-3.20203,0.961684,15,32765
0,-0,0,0,32765
5.11064,-3.26141,0.971674,14,32765
0,-0,0,0,32765
5.04752,-3.26778,0.965513,17,32765
0,-0,0,0,32765
5.05883,-3.32224,0.973572,16,32765
5.13027,-3.39304,0.990208,19,32765
4.97938,-3.31659,0.964175,16,32765
0,-0,0,0,32765
4.90834,-3.31578,0.95592,16,32765
5.03622,-3.42603,0.983701,16,32765
5.07384,-3.47579,0.993916,18,32765
4.92431,-3.39687,0.967505,18,32765
4.97012,-3.45183,0.97963,17,32765
4.99139,-3.49041,0.985884,16,32765
4.92346,-3.46664,0.975658,18,32765
0,-0,0,0,32765
5.04569,-3.6014,1.00466,16,32765
0,-0,0,0,32765
4.96676,-3.59273,0.99384,16,32765
0,-0,0,0,32765
4.67334,-3.42551,0.939491,16,32765
0,-0,0,0,32765
4.85781,-3.60799,0.98029,18,32765
0,-0,0,0,32765
2.31642,-0.753644,0.343222,13,32765
2.39866,-0.788824,0.355921,13,32765
2.27385,-0.75605,0.338237,13,32765
2.32763,-0.782544,0.346619,13,32765
2.40003,-0.815619,0.358094,15,32765
2.37861,-0.817098,0.355229,14,32765
2.43201,-0.844439,0.363666,15,32765
2.33577,-0.819752,0.349583,14,32765
2.34236,-0.830778,0.351058,12,32765
2.33034,-0.834993,0.349716,13,32765
2.3835,-0.862667,0.35826,13,32765
6.88182,-2.51572,1.03522,13,32765
6.91071,-2.55184,1.04108,12,32765
6.93952,-2.58838,1.04585,13,32765
6.86615,-2.58654,1.0363,13,32765
6.85767,-2.60898,1.03618,14,32765
6.84913,-2.63122,1.03646,13,32765
6.80364,-2.63924,1.03041,14,32765
6.79498,-2.66146,1.0304,14,32765
6.80451,-2.69109,1.0338,14,32765
6.73122,-2.6877,1.02436,14,32765
6.72242,-2.70974,1.02412,14,32765
6.72264,-2.7352,1.02648,14,32765
6.68614,-2.74595,1.0224,14,32765
6.48497,-2.68819,0.993412,14,32765
6.27506,-2.62567,0.962487,23,32765
6.16583,-2.60421,0.947763,19,32765
6.13882,-2.61677,0.946083,24,32765
6.23002,-2.68014,0.962412,15,32765
6.14845,-2.66909,0.951499,21,32765
6.13956,-2.68932,0.951995,18,32765
6.06719,-2.68135,0.943158,20,32765
6.05836,-2.70112,0.943476,24,32765
6.18476,-2.78193,0.965472,15,32765
6.17548,-2.80206,0.966643,15,32765
6.04902,-2.76882,0.949412,21,32765
6.01283,-2.77638,0.945369,16,32765
5.96748,-2.77949,0.941361,24,32765
5.994,-2.81598,0.947785,16,32765
5.9488,-2.81857,0.943345,16,32765
5.89452,-2.81713,0.937242,18,32765
5.96514,-2.87567,0.950653,14,32765
5.97306,-2.90433,0.954764,17,32765
6.27424,-3.07666,1.00579,13,32765
6.27293,-3.1013,1.00853,14,32765
6.28053,-3.1302,1.01239,14,32765
6.28769,-3.15957,1.01694,14,32765
6.24167,-3.16251,1.01238,14,32765
6.22193,-3.17903,1.01241,13,32765
6.21089,-3.19994,1.01428,13,32765
6.1997,-3.22098,1.01618,13,32765
6.17112,-3.23252,1.01472,13,32765
6.1164,-3.23003,1.00831,13,32765
6.13153,-3.26443,1.01403,14,32765
6.11177,-3.27974,1.01474,14,32765
6.06591,-3.28105,1.01012,14,32765
6.09826,-3.32472,1.01878,13,32765
6.04381,-3.32084,1.01258,14,32765
6.01516,-3.33129,1.01137,14,32765
6.02127,-3.3605,1.01599,14,32765
5.99267,-3.37083,1.01384,14,32765
6.033,-3.41977,1.02385,14,32765
5.96981,-3.41027,1.01682,14,32765
5.95829,-3.43004,1.01788,14,32765
5.92964,-3.43951,1.01688,13,32765
5.73005,-3.34945,0.985822,13,32765
5.67612,-3.34327,0.979684,13,32765
5.69047,-3.37712,0.984743,14,32765
5.67051,-3.39092,0.984583,13,32765
5.66767,-3.41454,0.987199,14,32765
5.81678,-3.53078,1.01635,15,32765
5.78795,-3.53953,1.01536,14,32765
5.33825,-3.2889,0.939056,14,32765
4.95745,-3.0771,0.874708,21,32765
5.00587,-3.12987,0.886614,19,32765
5.05417,-3.18297,0.897564,17,32765
5.02693,-3.18875,0.895657,19,32765
4.8831,-3.11979,0.87282,19,32765
5.05563,-3.25347,0.906645,19,32765
5.12787,-3.32367,0.922267,18,32765
4.94289,-3.22693,0.891978,19,32765
5.13057,-3.37332,0.928489,21,32765
4.90513,-3.24799,0.890338,17,32765
4.99311,-3.32971,0.909287,18,32765
0,-0,0,0,32765
4.94647,-3.34559,0.906098,17,32765
4.96817,-3.38386,0.912788,15,32765
4.94074,-3.38877,0.910419,17,32765
4.86455,-3.35979,0.899105,17,32765
4.95111,-3.44291,0.918095,18,32765
4.89144,-3.4248,0.908931,17,32765
4.79134,-3.37786,0.893313,15,32765
4.76426,-3.38191,0.890282,17,32765
4.83382,-3.4546,0.905568,24,32765
4.76657,-3.42952,0.895429,18,32765
4.8438,-3.50834,0.911972,18,32765
4.80081,-3.50028,0.905723,18,32765
4.65421,-3.41597,0.880385,19,32765
4.77862,-3.53061,0.905362,18,32765
4.70404,-3.49845,0.893169,19,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,14,32765
0,-0,0,14,32765
0,-0,0,13,32765
0,-0,0,12,32765
0,-0,0,0,32765
6.78151,-2.6838,0.988899,12,32765
6.7724,-2.70619,0.990337,12,32765
6.76332,-2.72827,0.991765,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
6.3142,-2.62069,0.934258,16,32765
6.28686,-2.63425,0.932989,16,32765
6.11378,-2.5855,0.909341,19,32765
0,-0,0,0,32765
6.3149,-2.71931,0.943893,15,32765
6.11488,-2.65739,0.916173,20,32765
6.08756,-2.66983,0.915273,17,32765
