x, y, z, intensity, ring
6.37304,-2.05024,1.00689,18,32765
6.39461,-2.07951,1.01222,17,32765
6.40673,-2.10592,1.01557,17,32765
6.37146,-2.11747,1.01239,18,32765
6.35502,-2.13547,1.01089,17,32765
6.376,-2.16569,1.01614,18,32765
6.3408,-2.17705,1.01149,17,32765
6.38027,-2.21416,1.01907,18,32765
6.32626,-2.21902,1.01135,17,32765
6.37479,-2.25971,1.0205,17,32765
6.34883,-2.27357,1.01767,17,32765
6.34147,-2.29384,1.01808,17,32765
6.33415,-2.31413,1.01772,17,32765
6.34511,-2.34156,1.02096,17,32765
6.31898,-2.35546,1.01722,17,32765
6.34827,-2.38993,1.0234,17,32765
6.34969,-2.41416,1.02478,18,32765
6.33256,-2.43118,1.02354,17,32765
6.32467,-2.4518,1.02313,17,32765
6.31664,-2.47242,1.02311,17,32765
6.62106,-2.61673,1.07441,14,32765
6.86954,-2.74101,1.11655,14,32765
6.91561,-2.78563,1.12525,13,32765
6.8423,-2.78187,1.11579,13,32765
6.81484,-2.79676,1.11292,13,32765
6.82387,-2.82657,1.11635,13,32765
6.87832,-2.87592,1.12671,13,32765
6.86857,-2.89881,1.12747,13,32765
6.8224,-2.90591,1.12274,13,32765
6.78533,-2.91676,1.11921,13,32765
6.83915,-2.96659,1.13006,13,32765
6.84738,-2.99697,1.13361,13,32765
6.77408,-2.99134,1.12424,13,32765
6.72812,-2.99728,1.11859,13,32765
6.79925,-3.0558,1.13306,14,32765
6.80707,-3.08606,1.13735,14,32765
6.83264,-3.12488,1.14463,13,32765
6.76838,-3.12259,1.13581,13,32765
6.59642,-3.0698,1.11051,13,32765
6.26399,-2.94027,1.05699,14,32765
6.27203,-2.96912,1.0613,12,32765
6.27081,-2.99433,1.06386,11,32765
6.21606,-2.99396,1.05695,11,32765
6.18799,-3.00613,1.05524,11,32765
6.17779,-3.02662,1.05644,11,32765
6.13233,-3.02902,1.05166,11,32765
6.12245,-3.04861,1.05263,12,32765
6.14753,-3.08628,1.06037,11,32765
6.11945,-3.09768,1.05846,12,32765
6.05593,-3.09129,1.05074,11,32765
6.11549,-3.1478,1.06479,12,32765
6.03431,-3.13205,1.0544,12,32765
6.09361,-3.18885,1.06806,12,32765
5.9954,-3.16305,1.0535,11,32765
6.03691,-3.21091,1.06407,11,32765
5.92154,-3.17453,1.04771,12,32765
5.91085,-3.19401,1.04885,12,32765
5.85668,-3.18983,1.04249,11,32765
5.94131,-3.26124,1.06052,12,32765
5.86967,-3.24742,1.05135,12,32765
5.93644,-3.30978,1.06696,12,32765
