x, y, z, intensity, ring
0,-0,0,0,32765
11.9429,-3.8838,1.89046,11,32765
12.015,-3.94936,1.90457,11,32765
11.7952,-3.91997,1.8742,12,32765
11.7446,-3.94653,1.86821,13,32765
11.6097,-3.94341,1.85025,13,32765
9.14646,-3.14034,1.45905,13,32765
9.1734,-3.18346,1.46519,12,32765
9.16281,-3.21398,1.46481,12,32765
8.90047,-3.155,1.42483,12,32765
9.02055,-3.23033,1.44593,12,32765
8.72184,-3.15488,1.40023,12,32765
8.67463,-3.1692,1.39378,12,32765
8.54363,-3.15289,1.37471,12,32765
8.75577,-3.2638,1.40948,12,32765
8.80984,-3.31664,1.42023,12,32765
8.69732,-3.30673,1.40366,12,32765
8.75112,-3.3597,1.41446,14,32765
8.72178,-3.38105,1.4109,13,32765
8.65546,-3.38786,1.40193,12,32765
8.62576,-3.40902,1.39971,12,32765
8.57774,-3.4226,1.3942,12,32765
8.49318,-3.42108,1.38194,14,32765
8.61928,-3.50434,1.40557,13,32765
8.46138,-3.47248,1.38181,12,32765
8.37682,-3.46983,1.37041,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
8.31135,-3.57274,1.37092,12,32765
8.25414,-3.58036,1.36387,12,32765
8.24222,-3.60747,1.36453,12,32765
8.17592,-3.61037,1.35689,12,32765
8.16405,-3.63697,1.35732,12,32765
8.15189,-3.66372,1.35847,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,12,32765
0,-0,0,12,32765
0,-0,0,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
7.78577,-3.87684,1.33861,12,32765
7.64025,-3.83568,1.31785,12,32765
7.51263,-3.80292,1.29944,12,32765
7.57871,-3.86861,1.31495,12,32765
7.51256,-3.86691,1.30804,12,32765
7.55166,-3.91962,1.31953,12,32765
7.48569,-3.91734,1.31205,12,32765
7.4724,-3.94229,1.31303,12,32765
7.41528,-3.94403,1.30702,12,32765
7.31484,-3.92148,1.29423,12,32765
7.37118,-3.98312,1.30798,12,32765
7.32302,-3.98847,1.3035,11,32765
7.27508,-3.99336,1.2986,12,32765
7.39111,-4.08917,1.32386,11,32765
7.20484,-4.01696,1.29494,12,32765
7.19128,-4.04088,1.29586,11,32765
7.17772,-4.06444,1.29736,12,32765
7.09524,-4.04897,1.28698,11,32765
7.06445,-4.06257,1.28512,12,32765
7.06787,-4.09543,1.29053,12,32765
7.03687,-4.10898,1.28891,12,32765
6.9549,-4.0921,1.27789,12,32765
7.00921,-4.15527,1.2912,12,32765
7.01206,-4.18861,1.29595,11,32765
6.95578,-4.18601,1.28951,12,32765
6.94167,-4.20896,1.29084,12,32765
6.85999,-4.19048,1.28061,12,32765
6.83755,-4.20793,1.27987,12,32765
6.74784,-4.18371,1.26682,12,32765
6.75899,-4.22124,1.27361,12,32765
6.68665,-4.20628,1.2633,12,32765
6.67273,-4.22791,1.26471,12,32765
6.69211,-4.27064,1.27235,11,32765
6.52836,-4.19637,1.24523,13,32765
6.3985,-4.14241,1.22393,16,32765
6.51699,-4.24959,1.25068,12,32765
6.56906,-4.31403,1.26421,12,32765
6.49724,-4.29713,1.25405,12,32765
6.52413,-4.3455,1.26329,12,32765
6.41965,-4.30614,1.24667,11,32765
6.45447,-4.36025,1.25704,12,32765
6.44016,-4.3811,1.25793,12,32765
6.37692,-4.36845,1.24918,12,32765
6.41135,-4.42266,1.25967,12,32765
6.38088,-4.43164,1.2577,12,32765
6.33429,-4.42948,1.25113,12,32765
6.24715,-4.39866,1.23797,12,32765
6.23291,-4.41882,1.23794,11,32765
6.21873,-4.43867,1.23822,12,32765
6.20452,-4.45837,1.23875,12,32765
6.26243,-4.52997,1.2531,12,32765
6.11256,-4.45086,1.22561,12,32765
6.20193,-4.54595,1.24679,12,32765
6.0844,-4.4894,1.22515,12,32765
6.10198,-4.53206,1.23136,12,32765
11.5754,-3.72552,1.71176,19,32765
11.648,-3.78967,1.72588,18,32765
11.6735,-3.83894,1.73215,19,32765
11.6793,-3.88335,1.73731,19,32765
11.6851,-3.9285,1.74008,19,32765
11.7189,-3.98251,1.7485,18,32765
11.7057,-4.02115,1.74818,17,32765
9.21357,-3.19912,1.37773,15,32765
9.23094,-3.23966,1.38155,13,32765
9.09882,-3.22713,1.36367,13,32765
9.08833,-3.25647,1.36389,13,32765
9.05915,-3.27881,1.36167,13,32765
8.75107,-3.19904,1.3164,13,32765
8.72198,-3.22067,1.31394,13,32765
8.69295,-3.2424,1.31011,13,32765
8.71936,-3.28466,1.31601,13,32765
8.72711,-3.3202,1.31864,13,32765
8.76244,-3.36626,1.32599,13,32765
8.76073,-3.39843,1.32682,16,32765
8.74958,-3.42703,1.3268,15,32765
8.66447,-3.42668,1.31638,13,32765
8.64392,-3.45142,1.31544,12,32765
8.60506,-3.46862,1.31093,13,32765
8.51107,-3.46284,1.29956,15,32765
8.54544,-3.50955,1.30671,13,32765
8.47894,-3.51474,1.29886,13,32765
0,-0,0,12,32765
0,-0,0,12,32765
0,-0,0,0,32765
8.35822,-3.5957,1.29118,12,32765
8.30087,-3.60347,1.28459,12,32765
8.25258,-3.61489,1.27964,12,32765
8.20429,-3.62583,1.27537,12,32765
8.19236,-3.65257,1.27581,12,32765
8.14402,-3.66321,1.27132,12,32765
2.58739,-1.174,0.405002,12,32765
2.57443,-1.1784,0.404065,14,32765
2.45367,-1.13296,0.385778,14,32765
0,-0,0,0,32765
0,-0,0,13,32765
0,-0,0,12,32765
0,-0,0,12,32765
2.39854,-1.15629,0.382251,13,32765
2.41237,-1.17298,0.385605,15,32765
2.48837,-1.22021,0.398896,14,32765
0,-0,0,0,32765
7.79529,-3.88516,1.25656,13,32765
7.66727,-3.85281,1.24007,13,32765
7.61008,-3.85585,1.23433,12,32765
7.60556,-3.88598,1.23755,13,32765
7.55688,-3.89341,1.23409,14,32765
7.57839,-3.93726,1.24216,13,32765
7.47723,-3.91668,1.22948,13,32765
7.49893,-3.96013,1.23623,13,32765
7.43295,-3.9573,1.22925,13,32765
7.38469,-3.96282,1.22609,12,32765
7.35394,-3.97774,1.22461,13,32765
7.34049,-4.00198,1.2263,12,32765
7.32714,-4.02599,1.22759,13,32765
7.26147,-4.02151,1.22092,13,32765
7.22207,-4.03067,1.2186,13,32765
7.20845,-4.0547,1.21953,13,32765
7.16042,-4.05884,1.21519,13,32765
7.11223,-4.06289,1.2114,13,32765
7.09851,-4.08644,1.21267,13,32765
7.08476,-4.10955,1.21497,13,32765
7.01098,-4.09821,1.2062,12,32765
7.02271,-4.13642,1.2121,12,32765
6.96636,-4.13432,1.20554,13,32765
6.96929,-4.16758,1.21009,13,32765
6.99775,-4.21586,1.21887,12,32765
6.94125,-4.21333,1.21283,13,32765
6.92698,-4.23608,1.21518,13,32765
6.86226,-4.22784,1.20715,13,32765
6.77238,-4.20364,1.19494,13,32765
6.7835,-4.24131,1.20146,12,32765
6.78632,-4.27382,1.20517,13,32765
6.69701,-4.24814,1.19322,13,32765
6.71635,-4.29104,1.2005,13,32765
6.63551,-4.27017,1.18997,13,32765
6.46377,-4.18954,1.16253,19,32765
6.42493,-4.19447,1.15942,20,32765
6.53507,-4.29677,1.18266,13,32765
6.53743,-4.32884,1.18662,13,32765
6.52312,-4.35002,1.18791,13,32765
6.45134,-4.3326,1.17832,13,32765
6.43697,-4.3537,1.17913,13,32765
6.44718,-4.39122,1.18452,13,32765
6.46536,-4.43448,1.19136,13,32765
6.3776,-4.40481,1.17876,13,32765
6.33093,-4.40241,1.17396,13,32765
6.36535,-4.45678,1.18281,13,32765
6.28611,-4.43167,1.172,13,32765
6.24755,-4.43483,1.16746,13,32765
6.25742,-4.47201,1.17227,13,32765
6.21901,-4.47454,1.16828,13,32765
6.17284,-4.47095,1.1622,13,32765
6.15878,-4.49038,1.16192,13,32765
6.14451,-4.50979,1.16229,13,32765
6.09851,-4.50579,1.15543,13,32765
6.11604,-4.54858,1.16127,13,32765
11.5949,-3.69175,1.57526,14,32765
11.6296,-3.74341,1.58814,14,32765
11.5698,-3.76522,1.58577,13,32765
11.5571,-3.80221,1.59071,13,32765
11.6849,-3.88714,1.61535,13,32765
11.6715,-3.92539,1.61956,13,32765
11.6583,-3.96302,1.62307,13,32765
11.6732,-4.00988,1.63066,13,32765
11.7723,-4.08618,1.64986,12,32765
9.27022,-3.25151,1.3034,12,32765
9.16573,-3.24837,1.29363,11,32765
9.15465,-3.27843,1.2963,11,32765
9.10618,-3.29499,1.29358,11,32765
8.81557,-3.2231,1.25627,11,32765
0,-0,0,0,32765
8.67291,-3.23584,1.24323,11,32765
0,-0,0,0,32765
8.84558,-3.36632,1.27519,11,32765
8.83419,-3.39537,1.27714,11,32765
8.78562,-3.41032,1.27382,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
8.53434,-3.47559,1.25516,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,13,32765
0,-0,0,12,32765
0,-0,0,0,32765
0,-0,0,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
2.41318,-1.10628,0.36757,16,32765
2.45436,-1.13503,0.375114,16,32765
2.5223,-1.17676,0.386434,13,32765
2.41971,-1.13883,0.371577,12,32765
2.65739,-1.26157,0.409399,11,32765
0,-0,0,0,32765
2.45261,-1.18441,0.37996,16,32765
2.4308,-1.1839,0.377512,20,32765
2.40012,-1.17883,0.373879,19,32765
2.39619,-1.18673,0.374061,18,32765
2.38336,-1.19015,0.373175,16,32765
2.37941,-1.19791,0.373507,13,32765
0,-0,0,0,32765
7.66925,-3.92516,1.2107,12,32765
7.63825,-3.94166,1.20947,12,32765
0,-0,0,0,32765
0,-0,0,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
7.44343,-4.03175,1.20117,12,32765
7.38643,-4.03225,1.19651,12,32765
7.41656,-4.08023,1.2037,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
6.80097,-4.22208,1.17004,12,32765
6.7951,-4.24942,1.17435,12,32765
6.81449,-4.29239,1.18226,12,32765
6.69144,-4.24556,1.16613,12,32765
6.71056,-4.28887,1.17322,12,32765
6.6879,-4.30502,1.17489,12,32765
6.46579,-4.1924,1.14081,17,32765
6.45169,-4.21325,1.14383,15,32765
6.56142,-4.31583,1.16832,12,32765
6.56331,-4.3481,1.17414,12,32765
6.61468,-4.413,1.18868,12,32765
6.57508,-4.41794,1.18754,12,32765
6.47832,-4.38375,1.17567,12,32765
6.54511,-4.46065,1.19344,12,32765
6.41577,-4.40374,1.17554,12,32765
6.40097,-4.42438,1.17874,12,32765
6.38634,-4.44468,1.18164,11,32765
6.33934,-4.44203,1.17898,12,32765
6.32453,-4.46213,1.18262,12,32765
6.3094,-4.48255,1.18623,12,32765
6.22162,-4.45141,1.17643,12,32765
6.2061,-4.47185,1.18089,12,32765
6.23102,-4.52094,1.19149,12,32765
6.14381,-4.48836,1.18245,12,32765
6.16043,-4.53163,1.19208,12,32765
6.16874,-4.56885,1.20215,12,32765
0,-0,0,11,32765
0,-0,0,11,32765
0,-0,0,11,32765
0,-0,0,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
9.09183,-3.22475,1.19085,11,32765
9.06215,-3.24791,1.19104,11,32765
9.01375,-3.26419,1.18867,11,32765
9.00252,-3.29415,1.19113,11,32765
8.87039,-3.27901,1.17692,11,32765
8.80347,-3.2873,1.17198,11,32765
8.74603,-3.29836,1.16798,11,32765
8.73492,-3.32705,1.16975,11,32765
8.72366,-3.35578,1.17168,11,32765
8.69369,-3.37757,1.1712,11,32765
8.6454,-3.39156,1.16789,11,32765
8.63392,-3.41993,1.17011,11,32765
8.50255,-3.40059,1.15567,11,32765
8.49115,-3.42835,1.15746,11,32765
8.39682,-3.4227,1.14812,11,32765
8.41261,-3.46207,1.15368,11,32765
8.40078,-3.48995,1.1559,11,32765
8.31553,-3.48753,1.14772,11,32765
8.26728,-3.4995,1.14371,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
8.12547,-3.59973,1.14028,11,32765
8.04085,-3.59465,1.13029,11,32765
8.02881,-3.62075,1.13259,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
2.70504,-1.28553,0.388081,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,47,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
7.43482,-3.84098,1.09723,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,15,32765
0,-0,0,15,32765
0,-0,0,14,32765
0,-0,0,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
2.2105,-1.30467,0.345853,15,32765
2.18908,-1.30184,0.343574,17,32765
2.24421,-1.34461,0.353749,17,32765
2.13788,-1.29051,0.338309,15,32765
2.17586,-1.32327,0.345633,15,32765
2.20529,-1.35096,0.35169,14,32765
0,-0,0,0,32765
6.81601,-4.23684,1.09596,12,32765
6.79331,-4.25377,1.09748,12,32765
6.7792,-4.27568,1.09958,13,32765
6.73973,-4.28175,1.09828,13,32765
6.72537,-4.30395,1.09955,13,32765
6.67769,-4.30407,1.09721,13,32765
6.57169,-4.26667,1.08467,14,32765
6.44129,-4.21201,1.06849,23,32765
6.45188,-4.24941,1.07504,16,32765
6.55306,-4.34708,1.09721,13,32765
6.53039,-4.36259,1.09854,13,32765
6.52381,-4.38937,1.10319,13,32765
6.45986,-4.37715,1.09781,13,32765
6.45315,-4.40391,1.10207,13,32765
6.43814,-4.42509,1.10505,13,32765
6.39885,-4.42893,1.10404,13,32765
6.36797,-4.43795,1.10413,13,32765
6.32097,-4.43523,1.10184,13,32765
6.33854,-4.47816,1.11113,13,32765
6.2911,-4.47571,1.10907,13,32765
6.23548,-4.4675,1.10581,13,32765
6.21993,-4.48802,1.11028,13,32765
6.2048,-4.50818,1.11325,13,32765
6.12558,-4.48128,1.10647,13,32765
6.1104,-4.50111,1.10993,13,32765
6.07914,-4.50878,1.11241,13,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
9.06429,-3.24753,1.17564,11,32765
0,-0,0,0,32765
9.02408,-3.30031,1.17316,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
8.69844,-3.37623,1.13934,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
8.64616,-3.4546,1.13756,11,32765
8.65302,-3.49038,1.14128,11,32765
8.6873,-3.53773,1.14794,11,32765
8.40012,-3.45289,1.11267,11,32765
8.56299,-3.55234,1.13651,11,32765
8.37721,-3.50776,1.11375,11,32765
8.36561,-3.53487,1.11528,11,32765
0,-0,0,0,32765
8.39657,-3.61346,1.12452,11,32765
8.28415,-3.59795,1.11244,11,32765
8.13532,-3.56655,1.09489,11,32765
0,-0,0,0,32765
8.19261,-3.65692,1.10893,11,32765
7.90914,-3.56099,1.07357,11,32765
8.01498,-3.63988,1.09008,11,32765
8.15618,-3.73624,1.11299,11,32765
0,-0,0,0,32765
7.86107,-3.66434,1.0788,11,32765
7.84852,-3.69034,1.08155,11,32765
7.88995,-3.74181,1.08972,11,32765
7.59975,-3.63532,1.0528,11,32765
7.81089,-3.76824,1.08533,11,32765
7.83381,-3.8115,1.09191,11,32765
7.70504,-3.7805,1.07826,11,32765
7.65685,-3.78805,1.07488,11,32765
7.67953,-3.83111,1.08161,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
7.50793,-3.83935,1.06787,11,32765
0,-0,0,0,32765
7.57814,-3.94007,1.08614,11,32765
7.51208,-3.93762,1.07997,11,32765
7.35819,-3.88862,1.06199,11,32765
7.26614,-3.87112,1.05247,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
2.22502,-1.32158,0.33882,14,32765
2.20359,-1.31867,0.336756,15,32765
2.20769,-1.33093,0.338742,15,32765
2.1948,-1.33299,0.337816,15,32765
2.19037,-1.34007,0.338517,15,32765
2.1606,-1.33164,0.33491,15,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
6.83788,-4.34018,1.07477,11,32765
6.75673,-4.31969,1.06536,11,32765
6.6675,-4.29298,1.0558,11,32765
6.65351,-4.31421,1.05753,11,32765
6.64773,-4.341,1.05991,12,32765
6.45951,-4.24804,1.03386,17,32765
6.4786,-4.29097,1.03967,13,32765
6.52218,-4.3504,1.05034,12,32765
6.50783,-4.37155,1.05156,12,32765
6.47688,-4.38184,1.04954,12,32765
6.46265,-4.40254,1.05064,12,32765
6.44809,-4.42362,1.05158,12,32765
6.35199,-4.38821,1.03923,12,32765
6.40269,-4.45383,1.05158,12,32765
6.38808,-4.47459,1.05231,12,32765
6.3737,-4.4949,1.05296,12,32765
6.39163,-4.5381,1.05867,12,32765
6.20804,-4.4371,1.03071,12,32765
6.29858,-4.53189,1.0482,12,32765
