x, y, z, intensity, ring
1.31791,-0.423978,0.20822,19,32765
1.30713,-0.425077,0.206909,19,32765
1.32456,-0.435387,0.209964,19,32765
1.3137,-0.436591,0.208741,20,32765
1.32162,-0.444103,0.21023,20,32765
1.32014,-0.448403,0.210391,19,32765
1.2719,-0.436694,0.202894,19,32765
1.30782,-0.453854,0.208886,19,32765
1.28765,-0.451659,0.205849,19,32765
1.27682,-0.452602,0.204399,19,32765
1.29397,-0.463381,0.207414,20,32765
1.30177,-0.470877,0.208989,19,32765
1.30955,-0.478434,0.210409,18,32765
1.27088,-0.468996,0.20449,17,32765
1.28789,-0.480072,0.207321,19,32765
1.30482,-0.491225,0.210349,18,32765
1.30321,-0.495482,0.210325,19,32765
1.2462,-0.478438,0.201426,19,32765
1.26309,-0.489645,0.204327,20,32765
1.26149,-0.493763,0.204324,19,32765
1.24145,-0.490637,0.201451,18,32765
1.26738,-0.505694,0.205995,19,32765
1.25655,-0.506142,0.204456,19,32765
1.25488,-0.510197,0.204636,19,32765
1.27149,-0.521811,0.207645,19,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
1.5556,-0.686929,0.258169,13,32765
1.52624,-0.679921,0.253746,13,32765
1.23541,-0.555232,0.205874,13,32765
1.43165,-0.649053,0.239205,13,32765
1.27662,-0.583859,0.213864,13,32765
1.31059,-0.604639,0.219931,12,32765
1.31749,-0.613125,0.2218,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
1.29163,-0.664837,0.224891,13,32765
1.28054,-0.664651,0.223753,19,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,14,32765
0,-0,0,0,32765
0,-0,0,0,32765
1.83956,-1.04167,0.332496,16,32765
1.74164,-0.993882,0.315908,15,32765
1.57559,-0.906077,0.28662,12,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
1.33387,-0.790761,0.245719,15,32765
1.29727,-0.774919,0.239758,16,32765
1.27777,-0.768963,0.236881,16,32765
1.32584,-0.803902,0.246548,16,32765
1.30626,-0.797942,0.24385,15,32765
1.25313,-0.771196,0.234565,15,32765
0,-0,0,12,32765
0,-0,0,0,32765
0,-0,0,11,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
0,-0,0,0,32765
1.33852,-0.430801,0.19794,20,32765
1.32771,-0.431967,0.196725,19,32765
1.34513,-0.44236,0.199595,21,32765
1.33424,-0.443632,0.19847,20,32765
1.33276,-0.44807,0.198467,20,32765
1.32189,-0.449228,0.197231,20,32765
1.33914,-0.46002,0.199991,19,32765
1.3189,-0.457946,0.197219,20,32765
1.31737,-0.46234,0.197165,20,32765
1.33449,-0.473312,0.200005,21,32765
1.31431,-0.470936,0.19724,20,32765
1.29416,-0.468401,0.194524,19,32765
1.29267,-0.472547,0.194453,19,32765
1.3004,-0.480185,0.195902,20,32765
1.30812,-0.487917,0.197145,20,32765
1.29725,-0.488685,0.195793,19,32765
1.29565,-0.492924,0.195769,20,32765
1.30327,-0.500678,0.19722,20,32765
1.29242,-0.501349,0.195737,20,32765
