x, y, z, intensity, ring
1.63797,-0.526944,0.258788,16,32765
1.63627,-0.532111,0.259008,16,32765
1.60638,-0.528023,0.254637,15,32765
1.56706,-0.520791,0.248998,15,32765
1.62156,-0.544892,0.257942,16,32765
1.56357,-0.531088,0.249186,15,32765
1.58988,-0.545868,0.253618,16,32765
1.65345,-0.573801,0.264092,16,32765
1.59556,-0.559664,0.255074,16,32765
1.64962,-0.584749,0.264078,15,32765
1.61979,-0.580059,0.259641,16,32765
1.64581,-0.595323,0.264222,16,32765
1.66248,-0.607373,0.267116,16,32765
1.63266,-0.602506,0.262702,15,32765
1.61217,-0.600953,0.259524,16,32765
1.58244,-0.595741,0.255105,16,32765
1.59898,-0.607932,0.258059,16,32765
1.62468,-0.623742,0.2626,16,32765
1.65032,-0.639755,0.266968,16,32765
1.68505,-0.659551,0.272929,16,32765
1.66446,-0.657817,0.270094,16,32765
1.59799,-0.637614,0.259733,15,32765
1.6326,-0.657615,0.265643,16,32765
1.59379,-0.647987,0.259903,16,32765
1.60995,-0.66071,0.262918,15,32765
1.6169,-0.66975,0.264518,15,32765
1.66941,-0.698002,0.273458,15,32765
1.60327,-0.676645,0.263176,16,32765
1.66467,-0.709043,0.273947,15,32765
1.67135,-0.718453,0.275683,15,32765
1.63269,-0.708203,0.269776,16,32765
1.63939,-0.717529,0.271407,15,32765
1.7003,-0.750829,0.282185,16,32765
1.66171,-0.740269,0.276268,15,32765
1.63218,-0.733555,0.271994,16,32765
1.73778,-0.787845,0.290356,15,32765
1.65422,-0.756549,0.27712,16,32765
1.59784,-0.737163,0.268135,15,32765
1.66703,-0.775791,0.280645,15,32765
1.70917,-0.802274,0.288406,15,32765
1.72436,-0.816296,0.291782,15,32765
1.67697,-0.800759,0.284504,15,32765
1.68315,-0.810687,0.286195,15,32765
1.68925,-0.820639,0.288067,15,32765
1.72197,-0.843627,0.294467,16,32765
1.79893,-0.888571,0.308506,15,32765
1.66332,-0.828234,0.285975,15,32765
1.76653,-0.886861,0.304705,15,32765
1.78116,-0.901631,0.308083,14,32765
1.82206,-0.930084,0.316138,15,32765
1.74854,-0.900017,0.304444,14,32765
1.79801,-0.933243,0.314174,14,32765
1.81232,-0.948408,0.317655,15,32765
1.80911,-0.954449,0.317892,15,32765
1.85818,-0.988328,0.327525,14,32765
1.79388,-0.961697,0.317396,15,32765
1.78195,-0.962901,0.316198,14,32765
1.91752,-1.04437,0.341319,14,32765
1.90538,-1.04588,0.340108,13,32765
1.9969,-1.10479,0.357675,13,32765
1.93279,-1.0776,0.347384,13,32765
2.00667,-1.12758,0.361598,14,32765
1.95131,-1.10494,0.352694,13,32765
4.44418,-2.53611,0.806111,14,32765
4.36712,-2.51141,0.794437,17,32765
0,-0,0,0,32765
4.38418,-2.56002,0.803032,17,32765
0,-0,0,0,32765
4.39244,-2.60397,0.809151,15,32765
0,-0,0,0,32765
4.1887,-2.52077,0.776531,13,32765
